,ID,Year_Birth,Age,Age_Group,Education,FamilySize,Income,IncomeClass,Dt_Customer,Day_Customer,Day_Joined,Month_Joined,Year_Joined,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,T_AmountSpent,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,T_NPurchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,T_AcceptedCmpgn,Complain
10,1994,1983,31,Young Adults,Undergraduate,3,36330.99329739261,Lower Middle,2013-11-15,226,Friday,November,2013,11,5.0,5.0,6.0,0.0,2.0,1.0,19.0,1,1,0,2,7,4,0,0,0,0,0,0,0
11,387,1976,38,Young Adults,Basic,2,7500.0,Poor,2012-11-13,593,Tuesday,November,2012,59,6.0,16.0,11.0,11.0,1.0,16.0,61.0,1,2,0,3,8,6,0,0,0,0,0,0,0
12,2125,1959,55,Middle-aged,Undergraduate,1,63033.0,Middle,2013-11-15,226,Friday,November,2013,82,194.0,61.0,480.0,225.0,112.0,30.0,1102.0,1,3,4,8,2,16,0,0,0,0,0,0,0
13,8180,1952,62,Old,Postgraduate,3,59354.0,Middle,2013-11-15,226,Friday,November,2013,53,233.0,2.0,53.0,3.0,5.0,14.0,310.0,3,6,1,5,6,15,0,0,0,0,0,0,0
14,2569,1987,27,Young Adults,Undergraduate,2,17323.0,Poor,2012-10-10,627,Wednesday,October,2012,38,3.0,14.0,17.0,6.0,1.0,5.0,46.0,1,1,0,3,8,5,0,0,0,0,0,0,0
15,2114,1946,68,Old,Postgraduate,1,82800.0,Middle,2012-11-24,582,Saturday,November,2012,23,1006.0,22.0,115.0,59.0,68.0,45.0,1315.0,1,7,6,12,3,26,0,0,1,1,0,2,0
16,9736,1980,34,Young Adults,Undergraduate,4,41850.0,Lower Middle,2012-12-24,552,Monday,December,2012,51,53.0,5.0,19.0,2.0,13.0,4.0,96.0,3,3,0,3,8,9,0,0,0,0,0,0,0
17,4939,1946,68,Old,Undergraduate,2,37760.0,Lower Middle,2012-08-31,667,Friday,August,2012,20,84.0,5.0,38.0,150.0,12.0,28.0,317.0,2,4,1,6,7,13,0,0,0,0,0,0,0
18,6565,1949,65,Old,Postgraduate,3,76995.0,Middle,2013-03-28,458,Thursday,March,2013,91,1012.0,80.0,498.0,0.0,16.0,176.0,1782.0,2,11,4,9,5,26,0,0,0,1,0,1,0
19,2278,1985,29,Young Adults,Postgraduate,2,33812.0,Lower Middle,2012-11-03,603,Saturday,November,2012,86,4.0,17.0,19.0,30.0,24.0,39.0,133.0,2,2,1,3,6,8,0,0,0,0,0,0,0
20,9360,1982,32,Young Adults,Undergraduate,2,37040.0,Lower Middle,2012-08-08,690,Wednesday,August,2012,41,86.0,2.0,73.0,69.0,38.0,48.0,316.0,1,4,2,5,8,12,0,0,0,0,0,0,0
21,5376,1979,35,Young Adults,Undergraduate,3,2447.0,Poor,2013-01-06,539,Sunday,January,2013,42,1.0,1.0,1725.0,1.0,1.0,1.0,1730.0,15,0,28,0,1,43,0,0,0,0,0,0,0
22,1993,1949,65,Old,Postgraduate,3,58607.0,Middle,2012-12-23,553,Sunday,December,2012,63,867.0,0.0,86.0,0.0,0.0,19.0,972.0,3,2,3,9,8,17,0,1,0,0,0,1,0
23,4047,1954,60,Old,Postgraduate,3,65324.0,Middle,2014-01-11,169,Saturday,January,2014,0,384.0,0.0,102.0,21.0,32.0,5.0,544.0,3,6,2,9,4,20,0,0,0,0,0,0,0
24,1409,1951,63,Old,Undergraduate,3,40689.0,Lower Middle,2013-03-18,468,Monday,March,2013,69,270.0,3.0,27.0,39.0,6.0,99.0,444.0,7,7,1,5,8,20,0,0,0,0,0,0,0
25,7892,1969,45,Middle-aged,Undergraduate,1,18589.0,Poor,2013-01-02,543,Wednesday,January,2013,89,6.0,4.0,25.0,15.0,12.0,13.0,75.0,2,2,1,3,7,8,0,0,0,0,0,0,0
26,2404,1976,38,Young Adults,Undergraduate,4,53359.0,Middle,2013-05-27,398,Monday,May,2013,4,173.0,4.0,30.0,3.0,6.0,41.0,257.0,4,5,1,4,7,14,0,0,0,0,0,0,0
27,5255,1986,28,Young Adults,Undergraduate,2,52563.593842281465,Middle,2013-02-20,494,Wednesday,February,2013,19,5.0,1.0,3.0,3.0,263.0,362.0,637.0,0,27,0,0,1,27,0,0,0,0,0,0,0
28,9422,1989,25,Young Adults,Undergraduate,3,38360.0,Lower Middle,2013-05-31,394,Friday,May,2013,26,36.0,2.0,42.0,20.0,21.0,10.0,131.0,2,2,1,4,3,9,0,0,0,0,0,0,0
29,1966,1965,49,Middle-aged,Postgraduate,2,84618.0,Middle,2013-11-22,219,Friday,November,2013,96,684.0,100.0,801.0,21.0,66.0,0.0,1672.0,1,6,9,10,2,26,0,0,1,0,0,1,0
30,6864,1989,25,Young Adults,Postgraduate,1,10979.0,Poor,2014-05-22,38,Thursday,May,2014,34,8.0,4.0,10.0,2.0,2.0,4.0,30.0,2,3,0,3,5,8,0,0,0,0,0,0,0
31,3033,1963,51,Middle-aged,Postgraduate,2,38620.0,Lower Middle,2013-05-11,414,Saturday,May,2013,56,112.0,17.0,44.0,34.0,22.0,89.0,318.0,1,2,5,3,3,11,0,0,0,0,0,0,0
32,5710,1970,44,Middle-aged,Undergraduate,3,40548.0,Lower Middle,2012-10-10,627,Wednesday,October,2012,31,110.0,0.0,5.0,2.0,0.0,3.0,120.0,2,2,1,4,5,9,0,1,0,0,0,1,0
33,7373,1952,62,Old,Postgraduate,3,46610.0,Lower Middle,2012-10-29,608,Monday,October,2012,8,96.0,12.0,96.0,33.0,22.0,43.0,302.0,6,4,1,6,6,17,0,0,0,0,0,0,0
34,8755,1946,68,Old,Postgraduate,2,68657.0,Middle,2013-02-20,494,Wednesday,February,2013,4,482.0,34.0,471.0,119.0,68.0,22.0,1196.0,1,3,5,9,7,18,0,0,0,0,0,0,0
35,10738,1951,63,Old,Postgraduate,3,49389.0,Lower Middle,2013-08-29,304,Thursday,August,2013,55,40.0,0.0,19.0,2.0,1.0,3.0,65.0,1,2,0,3,7,6,0,0,0,0,0,0,0
36,4339,1970,44,Middle-aged,Postgraduate,3,67353.0,Middle,2013-12-31,180,Tuesday,December,2013,37,702.0,17.0,151.0,0.0,8.0,35.0,913.0,5,5,6,12,2,28,0,0,0,0,0,0,0
37,10755,1976,38,Young Adults,Postgraduate,3,23718.0,Poor,2013-09-02,300,Monday,September,2013,76,6.0,3.0,14.0,15.0,7.0,36.0,81.0,3,3,1,2,7,9,0,0,0,0,0,0,0
38,8595,1973,41,Middle-aged,Undergraduate,2,42429.0,Lower Middle,2014-02-11,138,Tuesday,February,2014,99,55.0,0.0,6.0,2.0,0.0,4.0,67.0,2,1,1,3,5,7,0,0,0,0,0,0,0
39,2968,1943,71,Old,Postgraduate,1,48948.0,Lower Middle,2013-02-01,513,Friday,February,2013,53,437.0,8.0,206.0,160.0,49.0,42.0,902.0,2,7,10,5,6,24,1,0,0,0,0,1,0
40,8601,1980,34,Young Adults,Undergraduate,3,80011.0,Middle,2013-04-29,426,Monday,April,2013,3,421.0,76.0,536.0,82.0,178.0,102.0,1395.0,2,8,6,5,4,21,0,0,0,0,0,0,0
41,503,1985,29,Young Adults,Postgraduate,3,20559.0,Poor,2013-03-12,474,Tuesday,March,2013,88,13.0,1.0,29.0,3.0,0.0,7.0,53.0,2,2,0,3,8,7,0,0,0,0,0,0,0
42,8430,1957,57,Middle-aged,Undergraduate,3,21994.0,Poor,2012-12-24,552,Monday,December,2012,4,9.0,0.0,6.0,3.0,1.0,3.0,22.0,1,0,0,3,5,4,0,0,0,0,0,0,0
43,7281,1959,55,Middle-aged,Postgraduate,1,40237.05824899164,Lower Middle,2013-11-05,236,Tuesday,November,2013,80,81.0,11.0,50.0,3.0,2.0,39.0,186.0,1,1,3,4,2,9,0,0,0,0,0,0,0
44,2139,1975,39,Young Adults,Postgraduate,3,7500.0,Poor,2013-10-02,270,Wednesday,October,2013,19,3.0,1.0,10.0,3.0,2.0,12.0,31.0,3,2,0,3,5,8,0,0,0,0,0,0,0
45,1371,1976,38,Young Adults,Undergraduate,1,79941.0,Middle,2014-06-28,1,Saturday,June,2014,72,123.0,164.0,266.0,227.0,30.0,174.0,984.0,1,2,4,9,1,16,0,0,0,0,0,0,0
46,9909,1996,18,Young Adults,Postgraduate,2,7500.0,Poor,2012-11-09,597,Friday,November,2012,24,3.0,18.0,14.0,15.0,22.0,50.0,122.0,3,3,1,3,9,10,0,0,0,0,0,0,0
47,7286,1968,46,Middle-aged,Undergraduate,3,41728.0,Lower Middle,2013-05-24,401,Friday,May,2013,92,13.0,6.0,15.0,3.0,5.0,13.0,55.0,1,2,0,2,10,5,0,0,0,0,0,0,0
48,7244,1951,63,Old,Undergraduate,4,39337.870725856235,Lower Middle,2014-01-01,179,Wednesday,January,2014,96,48.0,5.0,48.0,6.0,10.0,7.0,124.0,3,2,1,4,6,10,0,0,0,0,0,0,0
49,6566,1954,60,Old,Postgraduate,4,72550.0,Middle,2012-11-08,598,Thursday,November,2012,39,826.0,50.0,317.0,50.0,38.0,38.0,1319.0,9,5,2,12,8,28,0,0,0,0,0,0,0
50,8614,1957,57,Middle-aged,Undergraduate,2,65486.0,Middle,2014-05-12,48,Monday,May,2014,29,245.0,19.0,125.0,37.0,67.0,14.0,507.0,1,4,2,10,2,17,0,0,0,0,0,0,0
51,4114,1964,50,Middle-aged,Postgraduate,2,79143.0,Middle,2012-08-11,687,Saturday,August,2012,2,650.0,37.0,780.0,27.0,167.0,32.0,1693.0,1,6,9,13,3,29,0,0,0,0,0,0,0
52,1331,1977,37,Young Adults,Undergraduate,2,35790.0,Lower Middle,2013-01-02,543,Wednesday,January,2013,54,12.0,6.0,20.0,30.0,1.0,3.0,72.0,2,2,0,3,7,7,0,0,0,0,0,0,0
53,2225,1977,37,Young Adults,Undergraduate,1,82582.0,Middle,2014-06-07,22,Saturday,June,2014,54,510.0,120.0,550.0,156.0,40.0,241.0,1617.0,1,4,9,7,1,21,1,0,0,1,0,2,0
54,9381,1978,36,Young Adults,Undergraduate,4,66373.0,Middle,2013-06-12,382,Wednesday,June,2013,57,328.0,9.0,124.0,12.0,24.0,109.0,606.0,7,4,2,10,3,23,0,0,0,0,0,0,0
55,6260,1955,59,Middle-aged,Postgraduate,2,82384.0,Middle,2012-11-19,587,Monday,November,2012,55,984.0,51.0,432.0,180.0,120.0,190.0,1957.0,1,3,10,13,1,27,0,0,1,0,0,1,0
56,10383,1966,48,Middle-aged,Undergraduate,1,70287.0,Middle,2013-04-02,453,Tuesday,April,2013,30,295.0,35.0,482.0,121.0,120.0,40.0,1093.0,1,5,5,10,3,21,0,0,0,0,0,0,0
57,7437,1988,26,Young Adults,Undergraduate,2,27938.0,Poor,2014-04-28,62,Monday,April,2014,31,13.0,0.0,8.0,2.0,1.0,5.0,29.0,1,1,0,4,3,6,0,0,0,0,0,0,0
58,8557,1982,32,Young Adults,Undergraduate,2,37005.431478114966,Lower Middle,2013-06-17,377,Monday,June,2013,57,11.0,3.0,22.0,2.0,2.0,6.0,46.0,2,2,0,3,6,7,0,0,0,0,0,0,0
59,8375,1968,46,Middle-aged,Postgraduate,3,55954.0,Middle,2014-03-03,118,Monday,March,2014,63,447.0,0.0,28.0,0.0,0.0,43.0,518.0,3,8,2,6,7,19,0,0,0,0,0,0,0
60,6853,1982,32,Young Adults,Postgraduate,1,75777.0,Middle,2013-07-04,360,Thursday,July,2013,12,712.0,26.0,538.0,69.0,13.0,80.0,1438.0,1,3,6,11,1,21,0,1,1,0,0,2,0
61,3076,1975,39,Young Adults,Undergraduate,4,66653.0,Middle,2012-09-07,660,Friday,September,2012,18,452.0,18.0,102.0,16.0,18.0,6.0,612.0,4,4,2,12,3,22,0,0,0,0,0,0,0
62,1012,1952,62,Old,Undergraduate,2,61823.0,Middle,2013-02-18,496,Monday,February,2013,26,523.0,7.0,134.0,37.0,14.0,169.0,884.0,4,8,2,10,7,24,0,0,0,0,0,0,0
63,6518,1951,63,Old,Postgraduate,2,67680.0,Middle,2013-06-11,383,Tuesday,June,2013,8,546.0,0.0,48.0,0.0,6.0,6.0,606.0,1,7,3,8,5,19,0,0,0,0,0,0,0
64,4137,1948,66,Old,Undergraduate,2,70666.0,Middle,2013-12-06,205,Friday,December,2013,29,398.0,40.0,367.0,119.0,122.0,30.0,1076.0,1,7,4,4,4,16,0,0,0,0,0,0,0
65,8082,1971,43,Middle-aged,Undergraduate,3,25721.0,Poor,2013-05-21,404,Tuesday,May,2013,75,1.0,3.0,6.0,3.0,6.0,15.0,34.0,1,1,1,2,7,5,0,0,0,0,0,0,0
66,1386,1967,47,Middle-aged,Undergraduate,4,32474.0,Lower Middle,2014-05-11,49,Sunday,May,2014,0,10.0,0.0,1.0,0.0,0.0,0.0,11.0,1,1,0,2,7,4,0,0,0,0,0,0,0
67,9369,1979,35,Young Adults,Postgraduate,2,88194.0,Middle,2014-03-19,102,Wednesday,March,2014,19,688.0,14.0,309.0,201.0,24.0,38.0,1274.0,1,11,10,10,5,32,1,0,0,1,0,2,0
68,4477,1958,56,Middle-aged,Undergraduate,3,69096.0,Middle,2013-09-27,275,Friday,September,2013,4,247.0,49.0,159.0,7.0,82.0,109.0,653.0,1,5,2,10,4,18,0,0,0,0,0,0,0
69,1357,1970,44,Middle-aged,Undergraduate,5,74854.0,Middle,2013-04-08,447,Monday,April,2013,90,856.0,59.0,487.0,58.0,29.0,73.0,1562.0,7,2,5,5,5,19,0,0,0,0,0,0,0
70,1402,1954,60,Old,Postgraduate,2,66991.0,Middle,2012-09-11,656,Tuesday,September,2012,1,496.0,36.0,460.0,189.0,60.0,12.0,1253.0,3,4,8,6,3,21,0,0,0,0,0,0,0
71,10629,1973,41,Middle-aged,Postgraduate,3,38573.197403682585,Lower Middle,2012-09-14,653,Friday,September,2012,25,25.0,3.0,43.0,17.0,4.0,17.0,109.0,3,3,0,3,8,9,0,0,0,0,0,0,0
72,6312,1959,55,Middle-aged,Undergraduate,3,65031.0,Middle,2013-03-17,469,Sunday,March,2013,29,258.0,107.0,291.0,84.0,37.0,86.0,863.0,4,10,3,13,7,30,0,0,0,0,0,0,0
73,8132,1975,39,Young Adults,Postgraduate,4,60631.0,Middle,2013-04-05,450,Friday,April,2013,88,565.0,6.0,65.0,0.0,6.0,19.0,661.0,5,9,2,8,7,24,0,1,0,0,0,1,0
74,1050,1952,62,Old,Undergraduate,2,28332.0,Poor,2014-04-30,60,Wednesday,April,2014,58,14.0,10.0,13.0,4.0,15.0,9.0,65.0,1,2,1,4,2,8,0,0,0,0,0,0,0
75,5846,1977,37,Young Adults,Undergraduate,2,40246.0,Lower Middle,2012-12-19,557,Wednesday,December,2012,68,2.0,1.0,6.0,2.0,1.0,1.0,13.0,1,1,0,2,6,4,0,0,0,0,0,0,0
76,1859,1972,42,Middle-aged,Postgraduate,2,75251.0,Middle,2012-08-27,671,Monday,August,2012,34,721.0,111.0,925.0,97.0,18.0,18.0,1890.0,1,7,6,5,5,19,0,0,0,0,0,0,0
77,7503,1976,38,Young Adults,Undergraduate,1,75825.0,Middle,2012-10-12,625,Friday,October,2012,40,1032.0,105.0,779.0,137.0,105.0,51.0,2209.0,0,5,8,9,4,22,1,0,0,0,0,1,0
78,10401,1976,38,Young Adults,Postgraduate,2,26326.0,Poor,2013-09-04,298,Wednesday,September,2013,12,1.0,0.0,5.0,0.0,3.0,9.0,18.0,1,0,0,3,3,4,0,0,0,0,0,0,1
79,1618,1965,49,Middle-aged,Undergraduate,2,56046.0,Middle,2013-01-02,543,Wednesday,January,2013,9,577.0,0.0,64.0,0.0,0.0,51.0,692.0,2,10,1,8,8,21,1,0,0,0,0,1,0
80,3332,1985,29,Young Adults,Undergraduate,2,29760.0,Poor,2012-08-29,669,Wednesday,August,2012,87,64.0,4.0,68.0,7.0,5.0,17.0,165.0,4,3,1,4,8,12,0,0,0,0,0,0,0
81,2261,1969,45,Middle-aged,Undergraduate,3,26304.0,Poor,2013-06-23,371,Sunday,June,2013,5,4.0,1.0,5.0,2.0,0.0,4.0,16.0,1,1,0,2,7,4,0,0,0,0,0,0,0
82,5346,1973,41,Middle-aged,Postgraduate,3,23559.0,Poor,2013-07-03,361,Wednesday,July,2013,87,25.0,5.0,19.0,7.0,0.0,23.0,79.0,3,3,0,3,7,9,0,0,0,0,0,0,0
84,535,1987,27,Young Adults,Undergraduate,1,81361.0,Middle,2014-02-25,124,Tuesday,February,2014,18,163.0,23.0,424.0,27.0,65.0,76.0,778.0,1,3,10,13,1,27,0,0,0,0,0,0,0
85,5268,1960,54,Middle-aged,Undergraduate,4,29440.0,Poor,2013-08-11,322,Sunday,August,2013,95,17.0,8.0,14.0,10.0,4.0,3.0,56.0,2,1,0,4,7,7,0,0,0,0,0,0,0
86,273,1970,44,Middle-aged,Postgraduate,4,36138.0,Lower Middle,2013-07-16,348,Tuesday,July,2013,48,130.0,0.0,16.0,0.0,0.0,5.0,151.0,5,3,1,4,7,13,0,1,0,0,0,1,0
87,4452,1957,57,Middle-aged,Undergraduate,2,50388.0,Middle,2014-05-28,32,Wednesday,May,2014,3,292.0,6.0,37.0,0.0,3.0,34.0,372.0,4,6,1,6,7,17,0,1,0,1,0,2,0
88,8504,1973,41,Middle-aged,Undergraduate,2,79593.0,Middle,2014-05-12,48,Monday,May,2014,70,350.0,60.0,568.0,110.0,133.0,145.0,1366.0,1,5,6,7,2,19,0,0,1,0,0,1,0
89,771,1967,47,Middle-aged,Undergraduate,3,54178.0,Middle,2014-01-21,159,Tuesday,January,2014,79,135.0,9.0,39.0,4.0,0.0,7.0,194.0,1,2,2,5,2,10,0,0,0,0,0,0,0
90,8996,1957,57,Middle-aged,Postgraduate,5,52562.79213791251,Middle,2012-11-19,587,Monday,November,2012,4,230.0,42.0,192.0,49.0,37.0,53.0,603.0,12,7,2,8,9,29,0,0,0,0,0,0,0
91,9235,1957,57,Middle-aged,Undergraduate,3,36212.10104906042,Lower Middle,2014-05-27,33,Tuesday,May,2014,45,7.0,0.0,8.0,2.0,0.0,1.0,18.0,1,1,0,2,7,4,0,0,0,0,0,0,0
92,5798,1973,41,Middle-aged,Postgraduate,2,63462.30488214625,Middle,2013-11-23,218,Saturday,November,2013,87,445.0,37.0,359.0,98.0,28.0,18.0,985.0,1,2,4,8,1,15,0,0,0,0,0,0,0
93,11178,1972,42,Middle-aged,Postgraduate,2,42394.0,Lower Middle,2014-03-23,98,Sunday,March,2014,69,15.0,2.0,10.0,0.0,1.0,4.0,32.0,1,1,0,3,7,5,0,0,0,0,0,0,0
94,2230,1970,44,Middle-aged,Postgraduate,3,23626.0,Poor,2014-05-24,36,Saturday,May,2014,84,27.0,2.0,14.0,0.0,0.0,0.0,43.0,3,3,1,3,5,10,0,0,0,0,0,0,0
95,7516,1983,31,Young Adults,Undergraduate,3,30096.0,Lower Middle,2014-05-22,38,Thursday,May,2014,30,5.0,3.0,11.0,12.0,5.0,9.0,45.0,1,2,0,3,6,6,0,0,0,0,0,0,0
96,7247,1960,54,Middle-aged,Undergraduate,2,47916.0,Lower Middle,2012-11-22,584,Thursday,November,2012,72,505.0,0.0,26.0,0.0,0.0,75.0,606.0,5,7,4,6,6,22,0,1,0,0,0,1,0
97,11100,1972,42,Middle-aged,Undergraduate,3,51813.0,Middle,2013-04-11,444,Thursday,April,2013,37,51.0,2.0,7.0,0.0,1.0,2.0,63.0,2,2,0,3,7,7,0,0,0,0,0,0,0
98,4646,1951,63,Old,Postgraduate,2,78497.0,Middle,2013-12-01,210,Sunday,December,2013,44,207.0,26.0,447.0,75.0,0.0,223.0,978.0,1,5,7,12,2,25,0,0,0,1,0,1,0
99,3037,1983,31,Young Adults,Postgraduate,2,50150.0,Middle,2013-06-20,374,Thursday,June,2013,32,135.0,46.0,92.0,65.0,61.0,11.0,410.0,2,5,2,7,5,16,0,0,0,0,0,0,0
100,1473,1960,54,Middle-aged,Postgraduate,2,47823.0,Lower Middle,2013-07-23,341,Tuesday,July,2013,0,53.0,1.0,5.0,2.0,1.0,10.0,72.0,2,2,0,3,8,7,0,0,0,0,0,0,0
101,1016,1959,55,Middle-aged,Postgraduate,2,34554.0,Lower Middle,2014-03-30,91,Sunday,March,2014,43,41.0,1.0,6.0,2.0,0.0,5.0,55.0,2,2,0,3,6,7,0,0,0,0,0,0,0
102,4518,1979,35,Young Adults,Undergraduate,3,85693.0,Middle,2013-04-20,435,Saturday,April,2013,59,386.0,172.0,183.0,185.0,132.0,111.0,1169.0,2,9,5,11,5,27,0,0,0,0,0,0,0
103,9370,1945,69,Old,Postgraduate,2,65846.0,Middle,2013-05-17,408,Friday,May,2013,68,562.0,81.0,276.0,80.0,40.0,81.0,1120.0,1,6,3,6,4,16,0,0,0,0,0,0,0
104,8908,1959,55,Middle-aged,Undergraduate,2,87195.0,Middle,2014-05-08,52,Thursday,May,2014,35,217.0,76.0,690.0,50.0,26.0,38.0,1097.0,1,3,11,5,1,20,0,0,0,0,0,0,0
105,8373,1979,35,Young Adults,Basic,3,24594.0,Poor,2013-12-10,201,Tuesday,December,2013,94,1.0,3.0,6.0,10.0,0.0,9.0,29.0,1,1,0,3,5,5,0,0,0,0,0,0,0
106,7533,1964,50,Middle-aged,Undergraduate,4,49096.0,Lower Middle,2013-09-24,278,Tuesday,September,2013,15,144.0,1.0,32.0,2.0,1.0,7.0,187.0,4,4,1,4,7,13,0,0,0,0,0,0,0
107,2683,1969,45,Middle-aged,Undergraduate,4,52413.0,Middle,2013-02-02,512,Saturday,February,2013,56,295.0,106.0,271.0,75.0,98.0,65.0,910.0,4,6,4,12,6,26,0,0,0,0,0,0,0
108,3629,1978,36,Young Adults,Undergraduate,2,38557.0,Lower Middle,2012-12-19,557,Wednesday,December,2012,17,76.0,3.0,31.0,4.0,4.0,27.0,145.0,2,3,1,3,7,9,0,0,0,0,0,0,0
109,10991,1960,54,Middle-aged,Postgraduate,2,89058.0,Middle,2012-12-07,569,Friday,December,2012,18,454.0,194.0,106.0,31.0,22.0,43.0,850.0,1,5,4,4,2,14,0,0,0,0,0,0,0
110,5077,1979,35,Young Adults,Undergraduate,3,77298.0,Middle,2013-11-02,239,Saturday,November,2013,46,425.0,115.0,292.0,23.0,35.0,79.0,969.0,1,6,6,11,3,24,0,0,0,0,0,0,0
111,7431,1991,23,Young Adults,Postgraduate,1,68126.0,Middle,2012-11-10,596,Saturday,November,2012,40,1332.0,17.0,311.0,23.0,51.0,86.0,1820.0,1,7,4,5,9,17,0,1,0,0,0,1,0
112,3267,1963,51,Middle-aged,Postgraduate,3,57288.0,Middle,2014-06-25,4,Wednesday,June,2014,27,527.0,0.0,21.0,0.0,0.0,60.0,608.0,3,8,1,8,6,20,0,1,0,0,0,1,0
113,999,1991,23,Young Adults,Undergraduate,1,86037.0,Middle,2013-01-02,543,Wednesday,January,2013,95,490.0,44.0,125.0,29.0,20.0,22.0,730.0,1,6,7,11,3,25,0,1,1,0,0,2,0
114,9215,1980,34,Young Adults,Postgraduate,3,43974.0,Lower Middle,2012-12-12,564,Wednesday,December,2012,19,378.0,0.0,101.0,0.0,0.0,72.0,551.0,5,6,4,6,7,21,0,0,0,0,0,0,0
115,2286,1962,52,Middle-aged,Undergraduate,3,50785.0,Middle,2013-09-10,292,Tuesday,September,2013,27,64.0,1.0,21.0,0.0,1.0,27.0,114.0,2,2,1,3,6,8,0,0,0,0,0,0,0
116,1592,1970,44,Middle-aged,Undergraduate,2,90765.0,Middle,2014-01-24,156,Friday,January,2014,25,547.0,99.0,812.0,151.0,82.0,33.0,1724.0,0,4,6,5,1,15,0,0,1,1,0,2,0
117,367,1978,36,Young Adults,Postgraduate,3,36550.0,Lower Middle,2013-02-19,495,Tuesday,February,2013,74,47.0,90.0,94.0,123.0,103.0,120.0,577.0,5,9,1,5,9,20,0,0,0,0,0,0,0
118,5234,1967,47,Middle-aged,Postgraduate,4,30753.0,Lower Middle,2013-07-11,353,Thursday,July,2013,85,12.0,5.0,25.0,0.0,9.0,30.0,81.0,2,1,1,3,5,7,0,0,0,0,0,0,0
119,9862,1969,45,Middle-aged,Undergraduate,3,21918.0,Poor,2013-11-14,227,Thursday,November,2013,37,1.0,6.0,7.0,11.0,5.0,3.0,33.0,2,2,0,3,6,7,0,0,0,0,0,0,0
120,9805,1953,61,Old,Postgraduate,3,56129.0,Middle,2013-06-20,374,Thursday,June,2013,65,320.0,48.0,133.0,39.0,72.0,48.0,660.0,4,6,2,10,4,22,0,0,0,0,0,0,0
121,6205,1967,47,Middle-aged,Postgraduate,2,32557.0,Lower Middle,2014-02-24,125,Monday,February,2014,13,34.0,3.0,29.0,0.0,4.0,10.0,80.0,3,2,1,3,5,9,0,0,0,0,0,0,0
122,8442,1985,29,Young Adults,Postgraduate,4,19510.0,Poor,2013-09-04,298,Wednesday,September,2013,63,9.0,0.0,7.0,3.0,4.0,7.0,30.0,2,1,0,3,7,6,0,0,0,0,0,0,0
